tag;word;lang
MIG;einwander*;de
MIG;migrant*;de
REF;asyl*;de
REF;flüchtling*;de
REF;geflüchtete*;de
MIG;immigrant*;en
MIG;migrant*;en
REF;asylum;en
REF;refugee*;en
MIG;inmigrant*;es
MIG;migrant*;es
REF;asilo;es
REF;refugiad*;es
MIG;immigrant*;fr
MIG;immigre*;fr
MIG;migrant*;fr
REF;asile;fr
REF;réfugié*;fr
MIG;immigrant*;it
MIG;immigrat*;it
MIG;migrant*;it
REF;asilo;it
REF;rifugiat*;it
MIG;immigrant*;nl
MIG;migrant*;nl
REF;asiel;nl
REF;gevlucht*;nl
REF;vluchteling*;nl
MIG;imigrant*;pt
MIG;migrant*;pt
REF;asilo;pt
REF;refugiad*;pt
MIG;иммигрант*;ru
MIG;мигрант*;ru
REF;бежен*;ru
REF;убежищ*;ru
